userName,score,at,content
Spider-Man 04,5,2022-01-18 00:39:45,"sangat membantu dan selalu menjadibpilihan utama. maju terus, dan tingkatkan pelayanan yg lebih baik lagi. terima kasih maxim"
Ahmad Yusuf,1,2022-01-18 00:30:15,"Hampir setiap hari saya menggunakan Maxim, seperti biasa ongkos 30 ribu, tapi pagi ini saya sangat kecewa, di order awal tarifnya 30 ribu Tapi kenapa pas sudah sampai tujuan koq tiba-tiba tarifnya naik, padahal setiap hari saya menggunakan rute/jalan yang sama... Koq tiba-tiba tarif jadi naik 44 ribu yaa ???"
Ardi Saputra,4,2022-01-18 00:28:18,puas
Indri Meliasari,5,2022-01-18 00:27:47,Bagus
Rommy Tjandiawan,5,2022-01-18 00:26:56,ramah orang nya
Beni Gusmar,5,2022-01-18 00:11:53,orang nya baik sekali makasih👍👍👍😊
Mucharor A,5,2022-01-18 00:06:06,makasih mas hehehe
Zerico Harefah,5,2022-01-17 23:58:46,Maxim 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Yurika Istikomah,5,2022-01-17 23:54:22,sgt sgt bagus pelayanannya
Jorrel Kavindra Oktovitus,5,2022-01-17 23:41:52,terimakasih
winanda allatif,5,2022-01-17 23:41:07,siippp
Anandya Kusuma,5,2022-01-17 23:38:28,terimakasih mas 👍 berkah
dimona susan riakudu,4,2022-01-17 23:35:08,thankd
Muto Mimah,3,2022-01-17 23:25:34,supirnya kurang ramah #maaf
Michael Evan Yonas,1,2022-01-17 23:24:14,"Driver biasa berbuat curang, dgn memanfaatkan waktu tunggu berbayar, saya pernah naik maxim yang awalnya 11k berubah jadi 20k alasannya waktu tunggunya 16 menit, padahal begitu drivernya sampai saya langsung naik"
Gojek Jakarta Driver,5,2022-01-17 23:09:05,ok
Ressa Mutia Chandra,1,2022-01-17 22:44:32,"Cuma cek biaya tujuan, sdh lgsg order, parah bgt ini aplikasi.. tdk order disuruh order.. lgsg auto delete"
Sarung Anak,5,2022-01-17 21:57:21,Baik
Dio Manday12,5,2022-01-17 20:40:10,sangat baik
Andika Setiawan,5,2022-01-17 19:41:35,bapaknya ramah banget
Indrayana Rezamaira,5,2022-01-17 18:18:19,"suwon mas , udah di anter dengan selamat"
21-0015 M Mairizal,5,2022-01-17 17:45:41,sangat memuaskan dan sopan
Rossi Bayung,5,2022-01-17 16:41:48,tepat waktu
fulanah 00,5,2022-01-17 16:01:29,bagus sekali
Fitri Ani,5,2022-01-17 15:59:54,baik
Tedii Noop,5,2022-01-17 15:59:42,terbaik dan saya ucapkan terimakasih
Akaa Ganteng,5,2022-01-17 15:58:37,memuaskan
